H.period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
0.092,0.089,0.072,0.084,0.071,0.16,0.072,0.153,0.091,0.302,0.105,0.129,0.081,0.082,0.131,0.03,0.085,0.14,0.091,0.161,0.051
0.115,0.212,0.102,0.099,0.095,0.1,0.071,0.231,0.104,0.283,0.101,0.081,0.083,0.04,0.122,0.059,0.072,0.163,0.071,0.13,0.061
0.082,0.193,0.081,0.091,0.051,0.11,0.074,0.251,0.111,0.286,0.091,0.04,0.071,0.08,0.125,0.003,0.068,0.15,0.061,0.154,0.071
0.116,0.109,0.082,0.12,0.071,0.133,0.081,0.121,0.102,0.284,0.092,0.061,0.081,0.05,0.185,0.003,0.068,0.15,0.071,0.141,0.064
0.125,0.11,0.091,0.12,0.084,0.11,0.081,0.121,0.091,0.305,0.091,0.08,0.091,0.074,0.111,0.003,0.078,0.15,0.081,0.134,0.071
0.112,0.09,0.084,0.141,0.071,0.09,0.091,0.143,0.092,0.311,0.115,0.099,0.072,0.08,0.111,0.064,0.081,0.14,0.072,0.15,0.074
0.104,0.11,0.102,0.14,0.071,0.103,0.082,0.16,0.091,0.305,0.101,0.151,0.07,0.044,0.113,0.049,0.072,0.496,0.072,0.193,0.062
0.115,0.08,0.102,0.12,0.081,0.05,0.104,0.15,0.102,0.294,0.102,0.11,0.091,0.093,0.122,0.09,0.081,0.17,0.096,0.18,0.072
0.091,0.08,0.091,0.165,0.051,0.14,0.091,0.13,0.105,0.311,0.102,0.113,0.081,0.09,0.112,0.069,0.085,0.18,0.082,0.14,0.084
0.102,0.07,0.094,0.12,0.072,0.069,0.092,0.164,0.092,0.281,0.101,0.053,0.091,0.08,0.091,0.05,0.071,0.154,0.082,0.12,0.061
0.095,0.14,0.091,0.141,0.074,0.09,0.081,0.14,0.092,0.276,0.101,0.07,0.081,0.083,0.132,0.003,0.077,0.141,0.081,0.133,0.071
0.084,0.081,0.092,0.1,0.061,0.13,0.084,0.12,0.091,0.275,0.101,0.05,0.081,0.1,0.122,0.043,0.081,0.14,0.071,0.171,0.055
0.094,0.059,0.102,0.11,0.071,0.08,0.094,0.131,0.091,0.306,0.101,0.07,0.081,0.08,0.114,0.003,0.078,0.16,0.062,0.16,0.065
0.102,0.11,0.061,0.294,0.081,0.09,0.136,0.19,0.093,0.285,0.092,0.049,0.092,0.049,0.112,0.115,0.081,0.141,0.08,0.154,0.061
0.122,0.103,0.091,0.131,0.071,0.19,0.085,0.121,0.081,0.274,0.102,0.09,0.072,0.169,0.095,0.12,0.071,0.191,0.064,0.171,0.07
0.132,0.07,0.094,0.12,0.072,0.05,0.101,0.14,0.105,0.281,0.135,0.11,0.091,0.08,0.141,0.02,0.094,0.163,0.081,0.17,0.075
0.121,0.11,0.091,0.164,0.071,0.16,0.112,0.366,0.101,0.305,0.152,0.113,0.091,0.06,0.141,0.03,0.081,0.144,0.081,0.12,0.081
0.132,0.09,0.101,0.195,0.132,0.311,0.105,0.261,0.111,0.254,0.122,0.07,0.091,0.032,0.112,0.05,0.091,0.14,0.082,0.123,0.081
0.091,0.11,0.086,0.089,0.071,0.141,0.081,0.113,0.092,0.331,0.124,0.131,0.101,0.1,0.126,0.04,0.091,0.231,0.081,0.164,0.061
0.122,0.1,0.091,0.1,0.084,0.122,0.081,0.231,0.114,0.221,0.112,0.029,0.084,0.07,0.101,0.03,0.061,0.191,0.054,0.16,0.071
0.111,0.121,0.091,0.123,0.072,0.099,0.092,0.17,0.104,0.282,0.126,0.1,0.081,0.039,0.122,0.059,0.072,0.183,0.082,0.17,0.051
0.101,0.12,0.092,0.134,0.071,0.12,0.071,0.144,0.101,0.375,0.122,0.11,0.081,0.05,0.121,0.073,0.081,0.211,0.081,0.145,0.061
0.112,0.201,0.094,0.11,0.102,0.13,0.091,0.124,0.092,0.315,0.142,0.09,0.081,0.07,0.125,0.1,0.082,0.15,0.081,0.124,0.06
0.092,0.092,0.092,0.11,0.091,0.14,0.095,0.13,0.092,0.425,0.132,0.12,0.085,0.06,0.111,0.06,0.081,0.154,0.071,0.16,0.041
0.101,0.1,0.105,0.111,0.071,0.09,0.082,0.142,0.102,0.312,0.114,0.07,0.094,-0.003,0.111,0.08,0.072,0.163,0.072,0.14,0.061
0.081,0.13,0.102,0.104,0.071,0.12,0.081,0.151,0.104,0.312,0.104,0.101,0.092,0.029,0.102,0.079,0.072,0.173,0.081,0.131,0.081
0.101,0.08,0.095,0.079,0.072,0.13,0.081,0.123,0.102,0.271,0.125,0.061,0.082,0.039,0.111,0.05,0.081,0.165,0.081,0.131,0.071
0.121,0.08,0.093,0.13,0.085,0.06,0.091,0.171,0.114,0.301,0.102,0.103,0.072,0.131,0.131,-0.021,0.092,0.143,0.101,0.131,0.061
0.132,0.193,0.112,0.09,0.102,0.06,0.091,0.123,0.102,0.261,0.104,0.111,0.071,0.019,0.102,0.079,0.095,0.14,0.091,0.141,0.061
0.091,0.14,0.082,0.12,0.074,0.13,0.082,0.119,0.092,0.295,0.121,0.07,0.074,0.05,0.101,0.09,0.081,0.151,0.074,0.16,0.061
0.122,0.059,0.102,0.093,0.081,0.03,0.111,0.14,0.106,0.261,0.111,0.07,0.094,0.041,0.1,0.07,0.071,0.174,0.072,0.151,0.061
0.111,0.11,0.082,0.143,0.071,0.1,0.091,0.161,0.124,0.282,0.101,0.103,0.091,0.08,0.092,0.059,0.091,0.155,0.081,0.201,0.061
0.132,0.07,0.094,0.121,0.081,0.049,0.082,0.135,0.101,0.271,0.115,0.06,0.091,0.03,0.111,0.07,0.081,0.154,0.071,0.19,0.061
0.111,0.084,0.101,0.11,0.081,0.09,0.095,0.132,0.1,0.305,0.101,0.08,0.081,0.05,0.101,0.05,0.075,0.16,0.072,0.17,0.064
0.126,0.069,0.082,0.12,0.081,0.09,0.084,0.211,0.102,0.294,0.101,0.121,0.07,0.053,0.103,0.09,0.071,0.181,0.064,0.221,0.05
0.121,0.08,0.101,0.105,0.082,0.06,0.091,0.17,0.095,0.281,0.112,0.059,0.085,0.079,0.122,0.06,0.071,0.163,0.113,0.14,0.061
0.112,0.039,0.092,0.07,0.104,0.06,0.101,0.151,0.101,0.304,0.051,0.131,0.084,0.151,0.141,0.02,0.091,0.153,0.092,0.231,0.071
0.131,0.09,0.105,0.1,0.091,0.049,0.092,0.133,0.112,0.281,0.114,0.04,0.102,0.039,0.111,0.05,0.071,0.144,0.081,0.161,0.061
0.091,0.103,0.092,0.12,0.081,0.05,0.081,0.146,0.101,0.265,0.101,0.06,0.091,0.04,0.112,0.059,0.075,0.161,0.081,0.245,0.091
0.111,0.151,0.071,0.113,0.071,0.04,0.111,0.345,0.071,0.345,0.091,0.1,0.082,0.029,0.112,0.059,0.074,0.151,0.061,0.15,0.061
0.081,0.14,0.094,0.111,0.071,0.13,0.081,0.843,0.081,0.264,0.081,0.101,0.071,0.05,0.115,0.141,0.071,0.15,0.061,0.194,0.061
0.084,0.111,0.08,0.13,0.082,0.103,0.101,0.12,0.082,0.264,0.081,0.04,0.081,0.029,0.102,0.083,0.071,0.15,0.051,0.151,0.054
0.102,0.12,0.085,0.161,0.072,0.1,0.111,0.63,0.091,0.365,0.102,0.1,0.071,0.04,0.155,0.019,0.072,0.15,0.061,0.151,0.054
