H.period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
0.111,0.15,0.075,0.08,0.071,0.15,0.071,0.224,0.091,0.327,0.101,0.121,0.094,-0.004,0.132,0.063,0.071,0.16,0.061,0.151,0.075
0.081,0.171,0.092,0.093,0.081,0.08,0.101,0.131,0.094,0.272,0.091,0.06,0.084,0.04,0.122,0.029,0.081,0.17,0.045,0.18,0.066
0.095,0.16,0.082,0.165,0.049,0.03,0.091,0.163,0.097,0.267,0.09,0.06,0.081,0.03,0.115,0.039,0.071,0.181,0.051,0.195,0.06
0.111,0.121,0.071,0.07,0.064,0.141,0.091,0.14,0.112,0.294,0.092,0.143,0.081,0.06,0.111,0.08,0.061,0.194,0.071,0.193,0.081
0.101,0.194,0.102,0.07,0.071,0.093,0.091,0.221,0.102,0.325,0.081,0.255,0.071,0.08,0.101,0.12,0.074,0.191,0.061,0.141,0.052
0.121,0.201,0.104,0.04,0.071,0.16,0.082,0.183,0.102,0.334,0.092,0.231,0.094,-0.003,0.114,0.09,0.071,0.17,0.082,0.133,0.051
0.124,0.161,0.101,0.08,0.081,0.113,0.102,0.17,0.102,0.274,0.121,0.121,0.084,0.029,0.102,0.1,0.071,0.174,0.061,0.231,0.071
0.123,0.153,0.101,0.07,0.071,0.05,0.122,0.174,0.112,0.291,0.115,0.12,0.071,0.06,0.111,0.093,0.081,0.201,0.051,0.204,0.062
0.101,0.155,0.081,0.06,0.081,0.15,0.105,0.311,0.112,0.295,0.101,0.08,0.081,0.032,0.112,0.12,0.071,0.185,0.062,0.178,0.061
0.115,0.251,0.102,0.09,0.074,0.09,0.112,0.191,0.104,0.332,0.091,0.173,0.072,0.132,0.109,0.03,0.064,0.16,0.051,0.161,0.061
0.122,0.12,0.081,0.07,0.074,0.08,0.102,0.131,0.101,0.285,0.101,0.1,0.074,0.06,0.111,0.04,0.081,0.181,0.064,0.15,0.062
0.092,0.039,0.091,0.081,0.064,0.07,0.092,0.131,0.101,0.244,0.102,0.069,0.092,0.07,0.114,0.03,0.071,0.16,0.051,0.761,0.101
0.101,0.122,0.082,0.049,0.076,0.16,0.071,0.131,0.094,0.382,0.101,0.083,0.071,0.05,0.101,0.121,0.081,0.205,0.061,0.17,0.051
0.082,0.12,0.091,0.08,0.071,0.044,0.115,0.177,0.111,0.295,0.102,0.149,0.085,0.039,0.102,0.111,0.081,0.214,0.051,0.331,0.054
0.081,0.134,0.091,0.07,0.081,0.04,0.092,0.142,0.102,0.356,0.131,0.12,0.082,0.019,0.101,0.043,0.081,0.181,0.051,0.294,0.061
0.111,0.356,0.111,-0.02,0.101,0.143,0.102,0.261,0.114,0.272,0.111,0.003,0.078,0.083,0.111,0.04,0.081,0.17,0.054,0.332,0.091
0.101,0.09,0.084,0.07,0.081,0.04,0.101,0.14,0.105,0.281,0.112,0.062,0.082,0.02,0.111,0.049,0.092,0.164,0.071,0.142,0.071
0.091,0.02,0.091,0.074,0.061,0.15,0.082,0.13,0.094,0.291,0.102,0.049,0.075,0.039,0.113,0.059,0.082,0.153,0.071,0.161,0.041
0.102,0.08,0.101,0.06,0.071,0.029,0.115,0.181,0.091,1.157,0.205,0.121,0.071,0.019,0.125,0.17,0.132,0.195,0.121,0.252,0.125
0.131,0.07,0.101,0.071,0.084,0.04,0.091,0.131,0.101,0.264,0.122,0.03,0.101,0.029,0.115,0.06,0.081,0.17,0.061,0.174,0.061
0.112,0.112,0.08,0.063,0.081,0.039,0.092,0.13,0.101,0.265,0.091,0.06,0.081,0.053,0.122,0.03,0.081,0.162,0.07,0.163,0.071
0.132,0.05,0.091,0.04,0.081,0.049,0.106,0.14,0.102,0.234,0.101,0.029,0.082,0.059,0.112,0.06,0.064,0.16,0.071,0.161,0.051
0.142,0.093,0.092,0.039,0.081,0.14,0.105,0.16,0.101,0.255,0.121,0.081,0.091,0.1,0.105,0.019,0.081,0.161,0.071,0.194,0.061
0.112,0.049,0.082,0.059,0.085,0.069,0.102,0.141,0.112,0.284,0.111,0.08,0.095,0.029,0.122,0.07,0.091,0.17,0.075,0.16,0.071
0.132,0.261,0.104,-0.031,0.122,0.091,0.111,0.122,0.103,0.251,0.111,0.05,0.104,0.07,0.152,0.003,0.078,0.163,0.051,0.332,0.074
0.142,0.123,0.081,0.05,0.081,0.191,0.114,0.172,0.091,0.254,0.101,0.051,0.08,0.06,0.125,0.019,0.081,0.141,0.081,0.175,0.061
0.142,0.093,0.101,0.06,0.091,0.161,0.104,0.13,0.112,0.254,0.101,0.04,0.091,0.11,0.135,0.003,0.078,0.16,0.081,0.234,0.061
0.162,0.1,0.103,0.029,0.081,0.194,0.092,0.201,0.094,0.362,0.165,0.069,0.093,0.019,0.112,0.019,0.081,0.144,0.071,0.14,0.061
0.125,0.251,0.101,0.003,0.078,0.173,0.092,0.334,0.112,0.242,0.124,0.241,0.095,-0.004,0.125,0.029,0.081,0.171,0.061,0.163,0.051
0.142,0.123,0.091,0.03,0.101,0.194,0.081,0.261,0.112,0.375,0.101,0.05,0.075,0.05,0.121,0.03,0.081,0.174,0.081,0.231,0.061
0.114,0.04,0.111,0.05,0.071,0.161,0.094,0.15,0.102,0.294,0.121,0.142,0.081,0.03,0.104,0.1,0.091,0.171,0.074,0.221,0.051
0.102,0.12,0.125,0.019,0.071,0.131,0.101,0.153,0.102,0.336,0.101,0.08,0.081,0.05,0.091,0.07,0.084,0.193,0.07,0.214,0.061
0.092,0.14,0.091,0.033,0.061,0.13,0.092,0.19,0.115,0.362,0.104,0.12,0.081,0.06,0.101,0.03,0.074,0.171,0.061,0.191,0.051
0.111,0.204,0.091,0.03,0.081,0.204,0.101,0.312,0.124,0.353,0.095,0.019,0.081,0.07,0.101,0.05,0.072,0.163,0.051,0.18,0.051
0.102,0.14,0.074,0.06,0.082,0.07,0.121,0.194,0.112,0.282,0.134,0.07,0.092,0.039,0.112,0.049,0.086,0.17,0.051,0.221,0.054
0.124,0.06,0.091,0.04,0.071,0.171,0.094,0.191,0.111,0.254,0.122,0.05,0.091,0.07,0.114,0.02,0.081,0.19,0.062,0.203,0.061
0.126,0.12,0.092,0.029,0.082,0.14,0.094,0.261,0.122,0.264,0.122,0.003,0.078,0.103,0.122,0.003,0.067,0.161,0.061,0.184,0.04
0.111,0.08,0.091,0.05,0.074,0.171,0.091,0.161,0.124,0.271,0.122,0.043,0.091,0.039,0.133,0.04,0.071,0.163,0.061,0.201,0.062
0.122,0.435,0.112,0.061,0.091,0.153,0.082,0.241,0.111,0.284,0.123,0.08,0.094,0.02,0.121,0.06,0.083,0.169,0.064,0.242,0.061
0.121,0.143,0.092,0.06,0.071,0.15,0.092,0.213,0.133,0.264,0.112,0.002,0.078,0.12,0.125,0.003,0.067,0.182,0.061,0.214,0.061
0.102,0.123,0.091,0.04,0.081,0.181,0.094,0.151,0.122,0.264,0.102,0.019,0.081,0.09,0.122,0.003,0.07,0.171,0.072,0.244,0.061
0.111,0.083,0.101,0.04,0.081,0.171,0.094,0.211,0.111,0.265,0.101,0.019,0.102,0.06,0.114,0.019,0.082,0.15,0.081,0.184,0.051
0.111,0.09,0.111,0.02,0.081,0.103,0.101,0.241,0.105,0.261,0.101,0.003,0.078,0.114,0.101,0.003,0.068,0.15,0.082,0.224,0.052
0.112,0.09,0.094,0.07,0.093,0.141,0.101,0.174,0.101,0.261,0.105,0.003,0.068,0.1,0.112,0.003,0.078,0.173,0.061,0.231,0.061
0.094,0.12,0.102,0.029,0.061,0.151,0.104,0.211,0.112,0.255,0.121,0.003,0.088,0.1,0.116,-0.021,0.081,0.16,0.071,0.224,0.071
0.114,0.121,0.121,0.039,0.082,0.153,0.091,0.282,0.125,0.292,0.124,0.003,0.068,0.08,0.101,0.029,0.092,0.163,0.051,0.232,0.051
0.122,0.141,0.111,0.033,0.081,0.12,0.102,0.244,0.091,0.466,0.101,0.029,0.092,0.039,0.112,0.093,0.071,0.152,0.061,0.204,0.041
0.102,0.13,0.101,0.06,0.074,0.02,0.132,0.17,0.091,0.264,0.102,0.08,0.091,0.043,0.101,0.03,0.092,0.15,0.061,0.214,0.051
0.102,0.208,0.051,0.079,0.082,0.079,0.122,0.147,0.094,0.379,0.091,0.14,0.095,-0.004,0.112,0.046,0.081,0.141,0.081,0.11,0.061
0.111,0.168,0.061,0.1,0.091,0.05,0.091,0.188,0.081,0.301,0.089,0.12,0.071,0.09,0.101,0.06,0.078,0.162,0.071,0.14,0.068
0.111,0.12,0.071,0.057,0.081,0.1,0.102,0.361,0.101,0.339,0.101,0.07,0.114,-0.003,0.128,0.03,0.071,0.161,0.081,0.137,0.041
0.111,0.117,0.102,0.05,0.092,0.11,0.111,0.21,0.081,0.258,0.092,0.049,0.092,0.09,0.131,0.003,0.085,0.142,0.092,0.11,0.098
0.132,0.151,0.081,0.09,0.099,0.14,0.082,0.289,0.132,0.288,0.092,0.09,0.091,0.05,0.091,0.03,0.068,0.162,0.089,0.111,0.071
0.152,0.127,0.101,0.111,0.081,0.15,0.109,0.164,0.079,0.269,0.082,0.108,0.091,0.09,0.119,0.049,0.072,0.18,0.081,0.158,0.051
0.118,0.071,0.115,0.076,0.061,0.086,0.112,0.161,0.102,0.309,0.111,0.11,0.071,0.128,0.173,0.101,0.094,0.174,0.082,0.14,0.051
0.121,0.05,0.101,0.04,0.081,0.097,0.101,0.11,0.082,0.258,0.101,0.131,0.091,0.08,0.148,-0.02,0.092,0.14,0.102,0.117,0.081
0.132,0.12,0.088,0.1,0.091,0.1,0.102,0.127,0.091,0.273,0.118,0.09,0.071,0.08,0.103,0.039,0.061,0.138,0.071,0.12,0.071
0.113,0.06,0.081,0.06,0.081,0.067,0.111,0.121,0.091,0.268,0.081,0.09,0.092,0.059,0.109,0.029,0.093,0.21,0.092,0.168,0.071
0.138,0.101,0.092,0.07,0.114,-0.004,0.109,0.13,0.122,0.248,0.113,0.06,0.081,0.03,0.131,0.02,0.078,0.14,0.081,0.111,0.041
0.121,0.192,0.098,0.08,0.103,0.059,0.102,0.138,0.102,0.281,0.108,0.161,0.081,0.05,0.091,0.08,0.078,0.15,0.092,0.16,0.068
0.111,0.02,0.098,0.09,0.071,0.06,0.111,0.117,0.082,0.251,0.091,0.127,0.083,0.1,0.101,0.061,0.088,0.171,0.081,0.14,0.119
0.111,0.03,0.101,0.04,0.078,0.04,0.112,0.121,0.101,0.339,0.131,0.127,0.082,0.049,0.113,0.07,0.091,0.148,0.081,0.13,0.061
0.152,0.177,0.092,0.08,0.101,0.029,0.102,0.147,0.091,0.282,0.108,0.1,0.112,0.039,0.102,0.077,0.081,0.141,0.072,0.218,0.152
0.128,0.03,0.111,0.08,0.085,-0.004,0.111,0.117,0.103,0.241,0.098,0.09,0.092,0.05,0.091,0.049,0.09,0.162,0.061,0.14,0.061
0.119,0.039,0.102,0.049,0.081,0.09,0.089,0.13,0.071,0.299,0.101,0.11,0.081,0.05,0.101,0.057,0.081,0.162,0.091,0.158,0.091
0.142,0.1,0.091,0.07,0.112,-0.003,0.112,0.13,0.092,0.248,0.101,0.09,0.091,0.03,0.108,0.101,0.061,0.151,0.091,0.097,0.112
0.143,0.128,0.102,0.08,0.101,0.04,0.131,0.108,0.091,0.272,0.098,0.09,0.101,0.02,0.121,0.03,0.071,0.147,0.074,0.12,0.081
0.108,0.04,0.112,0.08,0.104,-0.003,0.119,0.13,0.061,0.27,0.071,0.05,0.103,0.07,0.091,0.04,0.088,0.14,0.082,0.14,0.071
0.111,0.08,0.099,0.039,0.112,0.039,0.122,0.13,0.078,0.231,0.093,0.049,0.089,0.059,0.082,0.04,0.071,0.141,0.061,0.49,0.118
0.111,0.06,0.101,0.06,0.095,-0.004,0.099,0.129,0.102,0.278,0.092,0.059,0.112,0.029,0.102,0.167,0.071,0.13,0.072,0.117,0.182
0.101,0.02,0.101,0.07,0.101,0.02,0.107,0.132,0.081,0.259,0.101,0.03,0.121,0.04,0.101,0.06,0.088,0.133,0.101,0.07,0.101
0.131,0.067,0.092,0.039,0.102,0.069,0.102,0.117,0.102,0.261,0.109,0.09,0.101,0.02,0.101,0.03,0.071,0.137,0.091,0.07,0.082
0.121,0.132,0.102,0.019,0.103,0.079,0.078,0.231,0.101,0.3,0.091,0.02,0.091,0.077,0.111,0.003,0.068,0.14,0.082,0.11,0.08
0.109,0.019,0.121,0.02,0.081,0.03,0.111,0.128,0.091,0.221,0.129,0.003,0.088,0.08,0.112,0.003,0.077,0.138,0.071,0.13,0.061
0.092,0.08,0.111,0.06,0.101,-0.004,0.112,0.122,0.061,0.259,0.102,0.049,0.082,0.059,0.102,0.046,0.082,0.19,0.021,0.13,0.079
0.121,0.057,0.102,0.049,0.085,-0.004,0.121,0.11,0.099,0.232,0.101,0.003,0.058,0.127,0.131,0.003,0.058,0.14,0.078,0.1,0.073
0.111,0.05,0.121,0.02,0.101,0.02,0.118,0.11,0.092,0.221,0.098,0.07,0.092,0.06,0.081,0.02,0.071,0.147,0.071,0.151,0.071
0.092,0.07,0.118,0.039,0.106,-0.004,0.101,0.104,0.088,0.238,0.111,0.003,0.088,0.08,0.098,0.02,0.092,0.13,0.051,0.158,0.061
0.121,0.171,0.118,0.019,0.125,-0.004,0.112,0.12,0.098,0.251,0.102,0.087,0.081,0.06,0.111,0.04,0.081,0.188,0.071,0.202,0.121
0.131,0.24,0.092,0.029,0.102,0.09,0.088,0.121,0.081,0.369,0.113,0.13,0.091,0.07,0.119,0.019,0.082,0.16,0.081,0.219,0.091
0.134,0.13,0.101,0.02,0.108,0.02,0.111,0.151,0.091,0.279,0.102,0.029,0.101,0.09,0.109,0.003,0.087,0.171,0.081,0.158,0.062
0.108,0.131,0.101,0.029,0.082,0.147,0.112,0.281,0.098,0.353,0.119,0.059,0.102,0.049,0.112,0.003,0.067,0.148,0.071,0.16,0.092
0.05,0.39,0.071,0.019,0.081,0.088,0.111,0.171,0.081,0.279,0.091,0.08,0.081,0.057,0.112,0.002,0.068,0.171,0.091,0.128,0.091
0.109,0.11,0.093,0.04,0.091,0.147,0.102,0.15,0.101,0.3,0.101,0.1,0.092,0.087,0.102,0.07,0.091,0.16,0.099,0.15,0.092
0.111,0.121,0.091,0.087,0.081,0.11,0.092,0.13,0.108,0.304,0.138,0.05,0.082,0.09,0.112,0.08,0.088,0.191,0.091,0.14,0.078
0.169,0.331,0.102,0.147,0.101,0.07,0.112,0.157,0.091,0.262,0.119,0.04,0.092,0.06,0.111,0.003,0.078,0.157,0.092,0.09,0.091
0.142,0.1,0.101,0.07,0.089,0.09,0.113,0.12,0.102,0.268,0.111,0.08,0.098,0.09,0.102,0.1,0.101,0.147,0.082,0.12,0.081
0.111,0.07,0.081,0.088,0.081,0.101,0.101,0.13,0.119,0.271,0.139,0.142,0.101,0.11,0.112,0.118,0.091,0.161,0.081,0.127,0.071
0.122,0.076,0.103,0.06,0.081,0.05,0.111,0.127,0.092,0.271,0.108,0.11,0.072,0.08,0.091,0.08,0.078,0.16,0.102,0.13,0.088
0.133,0.12,0.091,0.05,0.098,0.1,0.122,0.13,0.109,0.252,0.121,0.08,0.078,0.08,0.101,0.1,0.102,0.157,0.132,0.08,0.081
0.131,0.04,0.108,0.05,0.101,0.06,0.122,0.12,0.108,0.292,0.138,0.06,0.091,0.07,0.122,0.049,0.098,0.161,0.112,0.12,0.081
0.121,0.047,0.111,0.07,0.081,0.09,0.092,0.117,0.094,0.301,0.118,0.06,0.091,0.07,0.101,0.08,0.089,0.15,0.091,0.11,0.099
0.144,-0.003,0.118,0.08,0.092,0.069,0.092,0.137,0.091,0.292,0.108,0.07,0.091,0.071,0.12,0.05,0.088,0.172,0.101,0.12,0.072
0.132,0.049,0.102,0.107,0.091,0.09,0.112,0.127,0.091,0.334,0.107,0.11,0.082,0.069,0.082,0.07,0.098,0.15,0.081,0.131,0.061
0.123,0.12,0.098,0.07,0.102,0.06,0.111,0.137,0.112,0.312,0.098,0.07,0.112,0.029,0.112,0.06,0.098,0.142,0.081,0.101,0.091
0.121,0.161,0.111,0.051,0.088,0.06,0.122,0.111,0.101,0.289,0.111,0.101,0.098,0.07,0.101,0.05,0.102,0.157,0.071,0.12,0.062
0.129,0.069,0.081,0.08,0.092,0.039,0.099,0.15,0.082,0.258,0.111,0.003,0.077,0.08,0.112,0.003,0.057,0.147,0.063,0.12,0.071
