Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,Gamma,k,max_depth,max_leaf_nodes,min_sample_leaf,min_sample_split,smoothing,test_score,training_score,version,priority
2023-08-06 23:08:48,21.7s,6e77ee1e6cee4bb787b9fa81dda5584d,"CHILD C = 100, GAMMA =5",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,100,5,,,,,,,0.278125,0.285625,,
2023-08-06 23:08:27,20.4s,4b5bcc57250942b0ae79d712353ecce2,"CHILD C = 100, GAMMA =1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,100,1,,,,,,,0.69625,0.6721875,,
2023-08-06 23:08:22,5.1s,f0d0e1fbd2a949e29262daa2ddf7c16d,"CHILD C = 100, GAMMA =0.1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,100,0.1,,,,,,,0.928125,0.9299999999999999,,
2023-08-06 23:08:20,2.6s,854c76b96acb4a73bf05e444677d4c30,"CHILD C = 100, GAMMA =0.01",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,100,0.01,,,,,,,0.9275,0.9237500000000001,,
2023-08-06 23:07:58,21.6s,21d91e166493437e9a8ad7d96cf8c4ee,"CHILD C = 10, GAMMA =5",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,10,5,,,,,,,0.278125,0.285625,,
2023-08-06 23:07:38,20.4s,ccb8d970e1be4c5592bc2bb9b7cb5511,"CHILD C = 10, GAMMA =1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,10,1,,,,,,,0.69625,0.6721875,,
2023-08-06 23:07:32,5.1s,da91cae340d54677b63cd3718796c370,"CHILD C = 10, GAMMA =0.1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,10,0.1,,,,,,,0.93,0.9301562499999999,,
2023-08-06 23:07:30,2.7s,a292b199d9cd4ade982048262f3ab546,"CHILD C = 10, GAMMA =0.01",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,10,0.01,,,,,,,0.92375,0.9221875,,
2023-08-06 23:07:08,21.7s,1503d913340440589f984173ed430df2,"CHILD C = 1, GAMMA =5",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,1,5,,,,,,,0.248125,0.2584375,,
2023-08-06 23:06:47,20.7s,97a140a3809d4500a93620be22a0d02a,"CHILD C = 1, GAMMA =1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,1,1,,,,,,,0.67625,0.64640625,,
